Director,Genre,Year,Runtime,Budget,Gross,ROI,Stars,Awards,Num_Rating,Sequel,Book,Rating
Dennis Dugan,Comedy,1996,92,12.00000,40.20000,3.35000,5,1,167280,0,0,7
Quentin Dupieux,Horror,2010,82,0.50000,0.10000,0.20000,1,5,28528,0,0,5.8
Richard Kelly,Sci-Fi,2006,145,17.00000,0.37400,0.02000,12,1,33705,0,0,5.5
Peter Weir,Drama,1989,128,16.40000,140.00000,8.54000,4,19,304000,0,0,8
Gus Van Sant,Drama,1997,126,10.00000,225.90000,22.59000,5,24,678947,0,0,8.3
David Wain,Comedy,2001,97,5.00000,0.29200,0.06000,13,0,45651,0,0,6.7
Tommy Wiseau,Drama,2003,99,6.00000,9.70000,1.62000,1,1,40951,0,0,3.6
Howard Zieff,Comedy,1991,102,17.00000,59.80000,3.52000,3,2,60583,0,0,6.8
Howard Zieff,Comedy,1994,99,17.00000,17.40000,1.02000,4,1,15966,1,0,5.2
James McTeigue,Action,2005,132,54.00000,123.30000,2.28000,6,7,870153,0,1,8.2
Tony Bancroft,Animation,1998,88,90.00000,304.30000,3.38000,6,17,194165,0,0,7.6
Byron Howard,Animation,2016,108,150.00000,1023.80000,6.83000,13,43,319770,0,0,8
James Wan,Horror,2004,103,1.20000,103.90000,86.58000,2,8,324537,0,0,7.7
Don Coscarelli,Horror,2012,99,0.90000,0.14100,0.16000,3,2,32317,0,1,6.4
Chris Columbus,Comedy,1990,103,18.00000,533.80000,29.66000,5,10,351880,0,0,7.5
Michael Lehmann,Comedy,1988,103,3.00000,1.10000,0.37000,3,3,67520,0,0,7.3
Wes Anderson,Adventure,2012,94,16.00000,68.30000,4.27000,6,38,262302,0,0,7.8
Wes Anderson,Adventure,2014,99,25.00000,174.60000,6.98000,11,131,553294,0,0,8.1
Duncan Jones,Mystery,2011,93,32.00000,147.30000,4.60000,3,1,416324,0,0,7.5
James Gunn,Comedy,2010,96,2.50000,0.33200,0.13000,8,1,65812,0,0,6.8
Joe Johnston,Adventure,1995,104,50.00000,262.80000,5.26000,5,4,233340,0,1,6.9
Lorene Scafaria,Adventure,2012,101,10.00000,6.60000,0.66000,9,0,95261,0,0,6.7
Michael Gondry,Action,2011,119,120.00000,227.80000,1.90000,5,4,142338,0,1,5.8
Rawson Marshall Thurber,Comedy,2013,110,37.00000,269.90000,7.29000,8,4,343567,0,0,7
Clint Eastwood,Crime,1983,117,22.00000,67.60000,3.07000,1,0,33822,1,0,6.6
Brad Bird,Animation,1999,86,70.00000,80.00000,1.14000,5,20,140714,0,1,8
Shawn Levy,Comedy,2002,88,15.00000,47.80000,3.19000,9,1,30647,0,0,5.4
Kevin Allen,Adventure,2004,100,26.00000,23.20000,0.89000,3,0,12069,1,0,4.5
Henry Selick,Animation,2009,100,60.00000,124.60000,2.08000,4,7,162017,0,1,7.7
David Fincher,Crime,2007,157,65.00000,76.80000,1.18000,4,2,345209,0,0,7.7
Steven Spielberg,Thriller,1975,124,8.00000,470.70000,58.84000,1,13,456863,0,1,8
Coen Brothers,Comedy,1988,117,15.00000,39.40000,2.63000,10,4,595119,0,0,8.2
Paul Verhoeven,Thriller,1992,127,49.00000,352.70000,7.20000,3,5,144338,0,0,6.9
Phillip Noyce,Sci-Fi,2014,97,25.00000,45.10000,1.80000,5,2,96599,0,1,6.5
Scott Derrickson,Sci-Fi,2008,104,80.00000,233.10000,2.91000,8,3,146924,0,0,5.5
Jessie Nelson,Drama,2001,132,22.00000,97.80000,4.45000,7,8,128981,0,0,7.6
Ron Clements,Animation,2016,107,150.00000,643.00000,4.29000,2,16,160905,0,0,7.6
Brenda Chapman,Animation,1998,99,70.00000,218.60000,3.12000,12,10,98672,0,0,7
Wes Craven,Horror,1996,111,14.00000,173.00000,12.36000,6,7,239782,0,0,7.2
John Carpenter,Horror,1978,91,0.30000,70.00000,233.33000,1,5,173773,0,0,7.8
Wes Craven,Horror,1984,91,1.80000,25.50000,14.17000,2,2,165869,0,0,7.5
Sean S. Cunnigham,Horror,1980,95,0.55000,59.80000,108.73000,1,0,93165,0,0,6.5
Adam Shankman,Musical,2007,117,75.00000,202.50000,2.70000,11,19,104950,0,1,6.7
Phyllida Lloyd,Musical,2008,108,52.00000,609.80000,11.73000,7,15,157772,0,1,6.4
Tobe Hooper,Horror,1974,83,0.30000,30.90000,103.00000,1,1,107952,0,0,7.5
Tod Browning,Horror,1931,75,0.35500,0.08400,0.24000,1,2,36836,0,1,7.6
James Whale,Horror,1931,70,0.29100,12.00000,41.24000,1,4,53134,0,1,7.9
Kurt Nerumann,Horror,1958,94,0.70000,3.00000,4.29000,1,0,17162,0,0,7.1
Rod Daniel,Comedy,1985,91,1.20000,33.00000,27.50000,1,0,37988,0,0,6
John Guillermin,Adventure,1976,134,24.00000,90.60000,3.78000,2,5,25111,0,0,5.8
Mike Hodges,Action,1980,111,20.00000,27.10000,1.36000,5,2,41167,0,0,6.5
Stephen Sommers,Adventure,1999,124,80.00000,413.30000,5.17000,1,5,341535,0,0,7
Victor Fleming,Adventure,1939,102,2.80000,22.20000,7.93000,1,9,318293,0,1,8.1
Blake Edwards,Drama,1961,115,2.50000,14.00000,5.60000,1,12,136215,0,1,7.7
John Hughes,Comedy,1985,97,1.00000,51.50000,51.50000,6,2,285708,0,0,7.9
David Slade,Horror,2007,113,32.00000,80.30000,2.51000,2,0,147077,0,0,6.6
Danny Boyle,Horror,2002,113,8.00000,37.70000,4.71000,2,10,321196,0,0,7.6
George A. Romero,Horror,1968,96,0.11400,30.00000,263.16000,0,1,95867,0,0,7.9
Mike Nichols,Drama,1967,106,3.00000,114.90000,38.30000,2,21,223576,0,0,8
Arthur Penn,Crime,1967,111,2.50000,70.00000,28.00000,4,22,86581,0,0,7.9
Sean Anders,Comedy,2012,116,70.00000,58.10000,0.83000,10,5,76248,0,0,5.6
John Carpenter,Action,1988,94,4.00000,13.00000,3.25000,2,0,83872,0,0,7.3
Jay Roach,Comedy,2004,115,80.00000,516.60000,6.46000,7,2,224163,1,0,6.3
Johnathan Frakes,Action,2002,94,26.00000,36.90000,1.42000,0,0,11939,0,0,5.2
Paul Anderson,Action,1995,101,18.00000,122.20000,6.79000,1,1,87188,0,0,5.8
Chris Sivertson,Thriller,2007,105,12.00000,9.60000,0.80000,1,8,23856,0,0,3.6
Frederik Du Chau,Adventure,2005,102,30.00000,90.80000,3.03000,9,0,13546,0,0,5.2
Adam Shankman,Comedy,2005,95,56.00000,198.60000,3.55000,5,1,73140,0,0,5.6
Peter Hewitt,Action,2006,83,35.00000,11.60000,0.33000,5,4,16148,0,0,4.3
Paul W.S. Anderson,Adventure,2011,110,75.00000,132.30000,1.76000,5,0,93844,0,1,5.8
Wil Shriner,Adventure,2006,91,15.00000,8.10000,0.54000,6,1,6987,0,1,5.6
Todd Phillips,Comedy,2003,88,24.00000,87.10000,3.63000,6,0,194183,0,0,7.2
Stewart Hendler,Horror,2009,101,16.00000,13.60000,0.85000,1,0,25342,0,0,5.1
Robert Rodriguez,Adventure,2002,100,38.00000,119.70000,3.15000,11,3,49289,1,0,5.1
Garry Marshall,Comedy,2001,111,26.00000,57.10000,2.20000,4,3,104215,0,0,6.3
Rob Reiner,Adventure,1987,98,16.00000,30.90000,1.93000,8,7,322364,0,1,8.1
Jay Roach,Comedy,2012,85,95.00000,104.90000,1.10000,9,2,112363,0,0,6.1
Evan Goldberg,Comedy,2014,112,44.00000,6.70000,0.15000,5,1,267746,0,0,6.6
Betty Thomas,Comedy,2006,89,18.00000,68.80000,3.82000,1,2,71496,0,0,5.8
Craig Brewer,Drama,2006,116,15.00000,10.90000,0.73000,3,1,55653,0,0,7
Zack Snyder,Action,2011,110,82.00000,86.40000,1.05000,4,1,208243,0,0,6.1
M. Night Shyamalan,Thriller,2008,91,48.00000,163.40000,3.40000,4,3,174349,0,0,5
Greg Mottola,Comedy,2007,113,20.00000,161.80000,8.09000,8,11,451771,0,0,7.6
Keenen Ivory Wayans,Comedy,2004,109,37.00000,113.10000,3.05700,6,3,107978,0,0,5.5
Harald Zwart,Crime,2009,92,70.00000,70.00000,1.00000,6,0,35954,1,0,5.6
Danny Leiner,Comedy,2000,83,13.00000,73.20000,5.63000,4,0,122144,0,0,5.5
Steve Martino,Animation,2012,88,95.00000,879.80000,9.26000,22,2,159056,1,0,6.6
M. Night Shyamalan,Adventure,2010,103,150.00000,317.10000,2.11000,2,8,127737,0,0,4.2
Peter Segal,Comedy,1995,97,20.00000,35.00000,1.75000,4,1,66307,0,0,7.1
Guillermo Del Toro,Sci-Fi,2013,131,190.00000,411.00000,2.16000,4,6,409127,0,0,7
Jerome Roberts,Musical,1961,152,6.00000,43.70000,7.28000,2,28,78704,0,1,7.6
Steven Quale,Horror,2011,92,40.00000,157.90000,3.95000,1,2,90181,1,0,5.9
John Singelton,Action,2003,107,76.00000,234.40000,3.08000,4,4,211950,1,0,5.9
David Yates,Adventure,2009,153,250.00000,933.90000,3.74000,14,8,363924,1,1,7.5
Simon West,Action,2012,103,100.00000,271.00000,2.71000,10,4,262047,1,0,6.6
Simon West,Action,1997,115,75.00000,224.00000,2.99000,7,7,240021,0,0,6.8
John Woo,Crime,1997,138,80.00000,241.60000,3.02000,4,11,302802,0,0,7.3
Johnathan Hensleigh,Crime,2004,124,33.00000,33.70000,1.02000,1,1,132464,0,1,6.5
Elizabeth Banks,Comedy,2013,94,6.00000,29.90000,4.98000,38,4,85836,0,0,4.3
Richard Curtis,Drama,2003,135,40.00000,246.90000,6.17000,13,10,347192,0,0,7.7
Peter Landesman,Drama,2015,123,35.00000,34.50000,0.99000,4,4,65086,0,1,7.1
Gabriele Muccino,Drama,2008,123,55.00000,168.20000,3.06000,5,5,250497,0,,7.7
Gabriele Muccino,Drama,2006,117,55.00000,307.10000,5.58000,3,11,370647,0,,8
Aristomenis Tsirbas,Animation,2007,85,4.00000,6.10000,1.53000,11,4,10406,0,0,6.6
Jason Reitman,Drama,2007,96,7.50000,231.40000,30.85000,7,90,440371,0,0,7.5
Gary Ross,Comedy,1998,124,40.00000,49.80000,1.25000,6,18,108660,0,0,7.5
John Carpenter,Action,1986,99,25.00000,11.10000,0.44000,3,1,102097,0,0,7.3
Joel Schumacher,Action,1997,125,125.00000,238.20000,1.91000,5,10,202832,0,1,3.7
Phil Traill,Comedy,2009,99,15.00000,34.80000,2.32000,5,2,34959,0,0,4.8
David Swift,Drama,1993,117,38.00000,266.60000,7.02000,5,7,51839,0,0,5.8
F. Gary Gray,Drama,2015,147,28.00000,201.60000,7.20000,2,27,147692,0,0,7.9
